IP,Port,Latency(ms),Speed(Mbps)
104.25.151.230,443,48,0.00
104.19.177.128,443,56,0.00
104.25.165.224,443,57,0.00
104.27.88.75,443,57,0.00
104.24.9.1,443,58,0.00
104.17.190.146,443,63,0.00
104.17.239.24,443,64,0.00
104.17.197.22,443,67,0.00
104.25.204.111,443,67,0.00
162.159.232.206,443,69,0.00
104.16.110.108,443,70,0.00
188.114.99.163,443,71,0.00
190.93.246.163,443,72,0.00
173.245.58.2,443,73,0.00
141.101.115.124,443,74,0.00
104.17.226.177,443,75,0.00
198.41.194.185,443,76,0.00
141.101.90.27,443,76,0.00
104.19.221.104,443,76,0.00
104.24.63.54,443,77,0.00
104.25.254.244,443,77,0.00
104.24.32.163,443,77,0.00
198.41.193.133,443,77,0.00
162.159.134.55,443,79,0.00
104.26.13.86,443,79,0.00
104.19.234.30,443,79,0.00
173.245.59.49,443,81,0.00
104.18.150.198,443,81,0.00
104.16.158.4,443,82,0.00
173.245.58.33,443,83,0.00
104.18.113.243,443,83,0.00
108.162.195.155,443,83,0.00
172.67.156.64,443,84,0.00
108.162.198.63,443,85,0.00
173.245.58.134,443,85,0.00
162.159.21.179,443,86,0.00
162.159.230.150,443,87,0.00
104.18.119.106,443,88,0.00
104.16.64.141,443,89,0.00
162.159.158.135,443,90,0.00
104.25.186.116,443,90,0.00
173.245.58.148,443,90,0.00
162.159.50.226,443,90,0.00
104.19.37.241,443,90,0.00
104.18.249.212,443,91,0.00
104.27.55.192,443,92,0.00
141.101.115.94,443,93,0.00
172.65.27.22,443,93,0.00
141.101.113.142,443,93,0.00
162.159.148.39,443,93,0.00
104.16.70.13,443,95,0.00
162.159.131.90,443,96,0.00
141.101.122.83,443,96,0.00
188.114.98.242,443,97,0.00
104.25.144.183,443,98,0.00
173.245.59.249,443,98,0.00
108.162.198.28,443,98,0.00
108.162.195.115,443,98,0.00
104.16.174.158,443,98,0.00
104.19.73.11,443,98,0.00
104.19.120.11,443,99,0.00
104.25.235.5,443,100,0.00
104.24.250.245,443,100,0.00
188.114.97.245,443,100,0.00
172.65.76.72,443,101,0.00
162.159.12.176,443,101,0.00
104.18.119.153,443,101,0.00
104.16.132.147,443,101,0.00
104.18.230.27,443,102,0.00
198.41.215.67,443,102,0.00
104.17.181.251,443,102,0.00
104.25.221.189,443,103,0.00
104.18.16.131,443,103,0.00
104.16.67.194,443,103,0.00
104.16.13.141,443,103,0.00
104.19.18.32,443,103,0.00
104.19.60.252,443,104,0.00
104.21.109.18,443,104,0.00
173.245.59.186,443,104,0.00
188.114.99.187,443,104,0.00
198.41.214.206,443,104,0.00
173.245.49.227,443,104,0.00
104.27.35.184,443,105,0.00
190.93.245.20,443,105,0.00
172.65.32.175,443,105,0.00
104.19.150.92,443,105,0.00
104.16.227.5,443,105,0.00
104.16.168.177,443,105,0.00
104.25.133.207,443,105,0.00
190.93.244.104,443,106,0.00
104.24.197.136,443,106,0.00
190.93.246.22,443,106,0.00
173.245.59.14,443,107,0.00
104.19.172.178,443,108,0.00
104.18.166.214,443,108,0.00
188.114.98.120,443,108,0.00
108.162.193.169,443,109,0.00
173.245.59.142,443,109,0.00
173.245.59.4,443,110,0.00
108.162.194.15,443,111,0.00
104.25.236.68,443,111,0.00
104.25.143.239,443,111,0.00
104.17.53.124,443,111,0.00
162.159.95.197,443,111,0.00
104.24.35.226,443,111,0.00
104.25.29.124,443,111,0.00
104.25.215.157,443,112,0.00
104.18.160.83,443,113,0.00
190.93.246.222,443,113,0.00
162.159.202.78,443,113,0.00
190.93.245.45,443,113,0.00
198.41.193.72,443,113,0.00
104.17.45.64,443,113,0.00
104.21.93.27,443,114,0.00
108.162.193.201,443,114,0.00
104.27.30.21,443,114,0.00
190.93.244.249,443,114,0.00
141.101.121.195,443,114,0.00
104.25.47.35,443,114,0.00
188.114.96.66,443,114,0.00
104.27.66.133,443,115,0.00
188.114.99.158,443,115,0.00
190.93.247.155,443,115,0.00
141.101.121.67,443,116,0.00
172.64.49.197,443,117,0.00
188.114.98.113,443,117,0.00
104.19.235.138,443,117,0.00
104.18.161.235,443,117,0.00
162.159.212.115,443,117,0.00
172.65.247.2,443,117,0.00
104.21.222.231,443,118,0.00
172.66.138.214,443,118,0.00
104.24.173.151,443,118,0.00
172.65.172.46,443,118,0.00
188.114.96.121,443,118,0.00
104.25.27.124,443,118,0.00
104.25.250.163,443,118,0.00
104.20.49.142,443,119,0.00
198.41.223.68,443,119,0.00
104.25.135.71,443,119,0.00
141.101.122.25,443,119,0.00
162.159.246.67,443,120,0.00
172.65.98.241,443,120,0.00
172.65.27.229,443,120,0.00
141.101.113.113,443,120,0.00
104.25.229.31,443,120,0.00
104.24.39.115,443,121,0.00
104.25.140.23,443,121,0.00
162.159.139.105,443,123,0.00
198.41.215.245,443,124,0.00
188.114.96.224,443,124,0.00
104.17.114.66,443,124,0.00
172.65.100.229,443,125,0.00
190.93.246.243,443,125,0.00
108.162.192.210,443,125,0.00
104.17.74.238,443,126,0.00
104.25.161.220,443,126,0.00
104.24.89.78,443,126,0.00
104.24.197.192,443,126,0.00
104.17.206.66,443,126,0.00
172.65.128.108,443,127,0.00
188.114.99.230,443,127,0.00
104.25.221.127,443,127,0.00
162.159.129.252,443,127,0.00
198.41.204.249,443,127,0.00
104.25.239.111,443,127,0.00
190.93.244.125,443,129,0.00
172.65.38.247,443,129,0.00
173.245.58.81,443,129,0.00
104.16.33.208,443,129,0.00
190.93.247.127,443,131,0.00
198.41.211.223,443,131,0.00
104.17.86.72,443,131,0.00
104.25.14.40,443,131,0.00
172.65.174.238,443,131,0.00
190.93.246.25,443,131,0.00
104.18.252.248,443,131,0.00
104.20.31.238,443,132,0.00
104.17.197.203,443,132,0.00
162.159.159.212,443,132,0.00
104.17.108.17,443,133,0.00
173.245.59.84,443,133,0.00
104.18.159.23,443,133,0.00
190.93.246.185,443,134,0.00
188.114.97.230,443,135,0.00
108.162.194.164,443,135,0.00
104.24.44.112,443,135,0.00
104.16.176.74,443,135,0.00
104.17.108.205,443,135,0.00
104.25.23.34,443,135,0.00
104.17.155.107,443,136,0.00
103.21.244.203,443,136,0.00
104.18.80.88,443,136,0.00
172.66.200.144,443,136,0.00
104.18.200.255,443,136,0.00
104.24.17.114,443,136,0.00
104.18.228.85,443,137,0.00
172.65.58.103,443,137,0.00
104.16.136.43,443,137,0.00
172.65.100.246,443,137,0.00
190.93.246.62,443,137,0.00
104.17.52.193,443,137,0.00
172.65.22.63,443,137,0.00
173.245.59.64,443,139,0.00
104.24.191.180,443,139,0.00
190.93.245.133,443,139,0.00
162.159.57.218,443,139,0.00
104.17.14.158,443,139,0.00
104.19.60.125,443,140,0.00
104.16.109.24,443,140,0.00
188.114.96.245,443,140,0.00
173.245.58.112,443,140,0.00
172.66.46.154,443,141,0.00
104.27.92.240,443,141,0.00
104.18.51.97,443,141,0.00
104.18.78.31,443,141,0.00
198.41.197.213,443,141,0.00
104.25.60.104,443,141,0.00
104.16.36.238,443,142,0.00
162.159.147.33,443,142,0.00
173.245.58.182,443,142,0.00
104.24.152.14,443,142,0.00
141.101.121.221,443,142,0.00
104.17.158.184,443,142,0.00
104.19.168.212,443,142,0.00
104.18.81.234,443,143,0.00
190.93.245.150,443,143,0.00
162.159.148.78,443,144,0.00
103.21.244.198,443,144,0.00
108.162.195.24,443,144,0.00
188.114.97.191,443,144,0.00
162.159.16.179,443,145,0.00
108.162.192.128,443,145,0.00
162.159.8.124,443,145,0.00
104.19.115.204,443,145,0.00
104.25.69.99,443,146,0.00
104.18.70.189,443,146,0.00
172.65.230.240,443,146,0.00
104.21.86.104,443,146,0.00
104.16.1.174,443,147,0.00
190.93.245.67,443,147,0.00
141.101.120.72,443,147,0.00
198.41.203.135,443,147,0.00
104.25.24.39,443,147,0.00
190.93.246.244,443,147,0.00
172.65.77.229,443,147,0.00
104.25.108.47,443,147,0.00
104.27.60.22,443,147,0.00
173.245.59.131,443,148,0.00
162.159.3.0,443,148,0.00
172.65.247.209,443,148,0.00
104.27.104.168,443,148,0.00
104.25.254.113,443,148,0.00
104.17.117.102,443,149,0.00
104.27.204.115,443,149,0.00
173.245.58.174,443,149,0.00
104.25.224.1,443,149,0.00
188.114.98.118,443,149,0.00
104.16.65.14,443,150,0.00
188.114.99.53,443,150,0.00
172.66.1.96,443,150,0.00
141.101.123.58,443,150,0.00
162.159.247.244,443,150,0.00
190.93.245.139,443,151,0.00
172.66.206.130,443,151,0.00
104.24.191.7,443,151,0.00
188.114.97.0,443,151,0.00
172.65.60.147,443,151,0.00
104.27.38.36,443,151,0.00
188.114.97.105,443,151,0.00
172.67.174.29,443,152,0.00
172.65.171.226,443,152,0.00
104.19.81.27,443,152,0.00
198.41.202.93,443,152,0.00
162.159.253.177,443,152,0.00
172.67.249.244,443,153,0.00
104.25.69.243,443,153,0.00
104.17.240.227,443,153,0.00
173.245.59.209,443,153,0.00
173.245.58.229,443,153,0.00
104.16.62.25,443,154,0.00
172.65.62.18,443,155,0.00
173.245.59.130,443,155,0.00
104.25.141.161,443,156,0.00
104.19.246.217,443,156,0.00
104.18.26.248,443,156,0.00
104.27.53.86,443,156,0.00
190.93.247.43,443,156,0.00
104.17.101.2,443,156,0.00
104.25.178.173,443,156,0.00
104.25.139.58,443,156,0.00
172.66.149.169,443,157,0.00
104.16.170.128,443,157,0.00
104.24.91.61,443,157,0.00
104.24.228.154,443,157,0.00
104.16.219.159,443,157,0.00
104.27.94.108,443,157,0.00
172.67.93.1,443,157,0.00
104.20.33.85,443,157,0.00
104.24.84.125,443,157,0.00
173.245.58.173,443,157,0.00
162.159.136.173,443,157,0.00
104.24.171.128,443,157,0.00
104.24.209.77,443,157,0.00
104.27.201.214,443,157,0.00
104.25.242.151,443,158,0.00
173.245.58.91,443,158,0.00
190.93.247.236,443,158,0.00
104.19.168.79,443,158,0.00
104.16.200.238,443,158,0.00
190.93.244.8,443,159,0.00
104.24.85.133,443,159,0.00
104.19.8.156,443,159,0.00
173.245.58.192,443,159,0.00
104.27.8.69,443,159,0.00
188.114.96.225,443,159,0.00
104.24.65.18,443,159,0.00
172.67.64.62,443,160,0.00
104.18.241.248,443,160,0.00
172.67.103.220,443,160,0.00
198.41.211.111,443,160,0.00
188.114.99.167,443,160,0.00
172.67.102.131,443,160,0.00
104.25.215.9,443,160,0.00
162.159.232.95,443,161,0.00
172.65.145.216,443,161,0.00
104.27.90.79,443,161,0.00
104.19.21.223,443,161,0.00
104.25.48.106,443,162,0.00
104.18.96.255,443,162,0.00
188.114.99.71,443,162,0.00
104.21.9.193,443,162,0.00
104.19.234.238,443,162,0.00
173.245.59.206,443,162,0.00
198.41.202.210,443,162,0.00
104.27.40.190,443,162,0.00
190.93.246.52,443,162,0.00
172.65.122.140,443,162,0.00
104.25.119.81,443,163,0.00
190.93.247.230,443,163,0.00
162.159.155.22,443,163,0.00
173.245.58.19,443,163,0.00
104.16.5.165,443,163,0.00
104.25.46.69,443,163,0.00
104.25.78.12,443,163,0.00
104.16.0.198,443,163,0.00
141.101.123.98,443,163,0.00
104.17.204.210,443,163,0.00
172.67.196.229,443,163,0.00
104.18.18.78,443,163,0.00
104.17.43.41,443,163,0.00
198.41.211.246,443,163,0.00
104.18.14.77,443,164,0.00
108.162.195.95,443,164,0.00
188.114.98.162,443,164,0.00
188.114.99.141,443,164,0.00
162.159.149.43,443,164,0.00
108.162.195.186,443,164,0.00
104.27.102.152,443,165,0.00
104.24.5.17,443,165,0.00
108.162.192.123,443,165,0.00
141.101.115.162,443,165,0.00
104.16.129.142,443,165,0.00
104.25.54.60,443,165,0.00
104.19.209.210,443,165,0.00
104.24.42.212,443,165,0.00
104.24.137.99,443,165,0.00
104.24.8.31,443,166,0.00
172.65.1.122,443,166,0.00
173.245.58.199,443,166,0.00
198.41.205.223,443,166,0.00
162.159.253.14,443,166,0.00
172.65.42.250,443,167,0.00
198.41.200.207,443,168,0.00
104.19.102.41,443,168,0.00
104.21.94.190,443,168,0.00
104.16.171.68,443,168,0.00
104.24.186.102,443,168,0.00
190.93.247.104,443,168,0.00
104.16.228.128,443,168,0.00
104.18.113.102,443,168,0.00
162.159.236.255,443,168,0.00
104.24.179.59,443,168,0.00
162.159.46.165,443,169,0.00
198.41.196.118,443,169,0.00
104.27.43.7,443,169,0.00
104.25.136.38,443,169,0.00
172.66.149.75,443,169,0.00
104.18.249.179,443,169,0.00
103.21.244.34,443,169,0.00
188.114.96.70,443,169,0.00
172.65.55.233,443,169,0.00
173.245.59.91,443,170,0.00
190.93.247.200,443,170,0.00
190.93.245.121,443,170,0.00
104.24.255.71,443,171,0.00
173.245.59.33,443,171,0.00
104.21.14.236,443,171,0.00
188.114.98.70,443,171,0.00
198.41.214.82,443,171,0.00
162.159.193.200,443,171,0.00
104.24.41.59,443,171,0.00
104.21.27.91,443,171,0.00
198.41.206.207,443,173,0.00
188.114.98.69,443,173,0.00
190.93.244.169,443,174,0.00
172.66.153.94,443,174,0.00
162.159.193.62,443,174,0.00
104.25.106.192,443,174,0.00
104.21.197.80,443,174,0.00
104.25.174.122,443,175,0.00
162.159.40.18,443,175,0.00
173.245.58.238,443,175,0.00
198.41.199.219,443,175,0.00
198.41.200.162,443,176,0.00
104.25.67.81,443,177,0.00
104.19.26.42,443,177,0.00
103.21.244.222,443,178,0.00
104.21.197.81,443,179,0.00
104.24.31.181,443,179,0.00
172.65.134.232,443,179,0.00
190.93.245.97,443,180,0.00
172.67.233.115,443,180,0.00
104.19.252.56,443,181,0.00
104.19.217.130,443,181,0.00
190.93.245.92,443,181,0.00
103.21.244.43,443,181,0.00
198.41.194.201,443,182,0.00
104.19.176.140,443,182,0.00
190.93.244.161,443,183,0.00
141.101.122.18,443,183,0.00
104.16.2.223,443,183,0.00
104.19.7.229,443,183,0.00
198.41.200.140,443,183,0.00
162.159.160.82,443,184,0.00
104.18.23.169,443,184,0.00
104.24.21.110,443,184,0.00
188.114.97.164,443,184,0.00
198.41.194.146,443,184,0.00
104.20.52.57,443,184,0.00
162.159.252.176,443,184,0.00
190.93.247.60,443,184,0.00
104.24.129.163,443,185,0.00
188.114.98.93,443,185,0.00
172.65.24.63,443,185,0.00
104.25.56.62,443,185,0.00
162.159.94.179,443,186,0.00
173.245.59.120,443,186,0.00
172.67.154.182,443,186,0.00
188.114.97.107,443,186,0.00
198.41.209.55,443,186,0.00
162.159.150.219,443,186,0.00
190.93.247.116,443,186,0.00
104.18.222.58,443,186,0.00
104.25.83.210,443,187,0.00
104.24.32.0,443,188,0.00
104.16.104.179,443,188,0.00
104.19.81.140,443,188,0.00
162.159.155.170,443,188,0.00
104.26.5.142,443,188,0.00
104.18.80.185,443,188,0.00
198.41.192.21,443,189,0.00
172.65.64.241,443,189,0.00
104.24.170.37,443,189,0.00
108.162.196.21,443,189,0.00
104.27.21.35,443,189,0.00
188.114.97.98,443,190,0.00
104.24.31.8,443,190,0.00
104.27.76.123,443,191,0.00
104.25.193.201,443,191,0.00
104.19.33.180,443,191,0.00
104.17.168.156,443,191,0.00
104.21.20.132,443,191,0.00
104.19.210.237,443,191,0.00
188.114.96.82,443,191,0.00
104.21.85.135,443,191,0.00
104.25.144.79,443,192,0.00
104.25.195.228,443,192,0.00
172.65.171.79,443,192,0.00
104.24.195.204,443,193,0.00
198.41.204.10,443,193,0.00
173.245.59.101,443,193,0.00
198.41.197.13,443,193,0.00
172.67.207.51,443,193,0.00
173.245.58.200,443,194,0.00
172.65.175.150,443,196,0.00
104.25.133.188,443,196,0.00
104.25.100.40,443,196,0.00
104.19.246.83,443,196,0.00
103.21.244.199,443,197,0.00
198.41.211.85,443,197,0.00
172.65.46.94,443,197,0.00
104.27.47.91,443,197,0.00
188.114.97.101,443,197,0.00
141.101.122.12,443,197,0.00
104.27.27.241,443,197,0.00
104.27.120.18,443,198,0.00
104.24.2.40,443,198,0.00
104.20.26.215,443,198,0.00
172.65.66.91,443,198,0.00
162.159.156.127,443,198,0.00
104.25.7.223,443,199,0.00
